feature,lag_min,partition,bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
quotevol_z_24h,30,validation_2026,LOW,8051,0.24891317848714445,0.30865730965097504,-0.059744131163830594,0.4424295118618805,0.0,-0.00055375365872945,0.005529411764705783,-0.006681514476614581
quotevol_z_24h,30,validation_2026,HIGH,8458,0.34038779853393236,0.3458264365098132,-0.0054386379758808445,0.31307637739418304,0.0007093875620714117,0.00038987256157807515,0.007581696681599026,-0.007660075978886349
quotevol_z_24h,60,development,LOW,23392,0.400906292749658,0.4107387140902873,-0.009832421340629283,0.1879702462380301,0.0003847469220246238,0.00025238715495257136,0.009373593144672232,-0.009541070424973541
quotevol_z_24h,60,development,HIGH,23390,0.4265925609234716,0.44352287302265925,-0.01693031209918766,0.1288157332193245,0.0010688328345446773,0.0002854440471585784,0.010794691838839632,-0.011207629201738734
quotevol_z_24h,60,validation_2025,LOW,11620,0.3813253012048193,0.3827022375215146,-0.001376936316695332,0.23588640275387263,8.605851979345956e-05,0.00016139447792629102,0.008555888284544455,-0.00873828479236921
quotevol_z_24h,60,validation_2025,HIGH,11868,0.41885743174924167,0.4343613077182339,-0.01550387596899222,0.14551735760026963,0.0012639029322548028,0.000278629339289016,0.009990190429456036,-0.010285174283119425
quotevol_z_24h,60,validation_2026,LOW,8053,0.2539426300757482,0.3108158450266981,-0.056873214950949935,0.43474481559667205,0.000496709300881659,-0.0005128205128206442,0.005643738977072266,-0.006703516405974441
quotevol_z_24h,60,validation_2026,HIGH,8458,0.34109718609600376,0.33896902340978957,0.0021281626862141856,0.3192244029321353,0.0007093875620714117,0.00038895607477484884,0.007504917543565193,-0.0074845947315784755
impulse5m_prev,15,development,DOWN_IMPULSE,1980,0.4868686868686869,0.4818181818181818,0.005050505050505083,0.030303030303030304,0.00101010101010101,0.0028222366904145924,0.016852838382918955,-0.015782739960330916
impulse5m_prev,15,development,UP_IMPULSE,2180,0.5013761467889908,0.46926605504587154,0.03211009174311924,0.026605504587155965,0.0027522935779816515,0.0015094337114990308,0.01761098528194771,-0.01529414308416388
impulse5m_prev,15,validation_2025,DOWN_IMPULSE,768,0.4440104166666667,0.5065104166666666,-0.062499999999999944,0.04296875,0.006510416666666667,0.0007565815493674188,0.01552660944692974,-0.016467610469958816
impulse5m_prev,15,validation_2025,UP_IMPULSE,780,0.47435897435897434,0.4807692307692308,-0.006410256410256443,0.041025641025641026,0.0038461538461538464,0.0018165254980246903,0.014760171554504709,-0.014645251588076613
impulse5m_prev,15,validation_2026,DOWN_IMPULSE,263,0.4372623574144487,0.4714828897338403,-0.034220532319391594,0.08745247148288973,0.0038022813688212928,0.00153103285832068,0.011855364552459946,-0.014176792947343309
impulse5m_prev,15,validation_2026,UP_IMPULSE,295,0.423728813559322,0.4915254237288136,-0.06779661016949157,0.0847457627118644,0.0,-0.0013259402121503783,0.011494252873563315,-0.01224534026874724
impulse5m_prev,30,development,DOWN_IMPULSE,1980,0.47575757575757577,0.48838383838383836,-0.012626262626262597,0.03333333333333333,0.0025252525252525255,0.003048419658450041,0.01702091440359743,-0.01568910287145292
impulse5m_prev,30,development,UP_IMPULSE,2180,0.4908256880733945,0.47706422018348627,0.01376146788990823,0.028440366972477066,0.003669724770642202,0.0013848206597947277,0.0164617933816793,-0.015145193154999737
impulse5m_prev,30,validation_2025,DOWN_IMPULSE,768,0.4479166666666667,0.5065104166666666,-0.058593749999999944,0.041666666666666664,0.00390625,0.001216607947591486,0.014834622808082343,-0.015399670332648663
impulse5m_prev,30,validation_2025,UP_IMPULSE,780,0.47435897435897434,0.47435897435897434,0.0,0.04487179487179487,0.00641025641025641,0.001539024607745132,0.01536525452272719,-0.014107784825751979
impulse5m_prev,30,validation_2026,DOWN_IMPULSE,263,0.4220532319391635,0.4790874524714829,-0.05703422053231938,0.09885931558935361,0.0,0.0007115749525616888,0.011900932775812167,-0.012839690850162122
